timestamp,strategy,pair,tf,signal,result,profit_loss
2025-11-25 23:56:13,Aggressive,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-25 23:56:13,Conservative,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-25 23:56:13,Breakout_Focus,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:08:59,Aggressive,EURUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:09:02,Aggressive,USDCOP_otc,M5,SELL,WIN,0.92
2025-11-26 00:09:03,Default,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:09:03,Aggressive,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:09:03,Conservative,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:09:03,Breakout_Focus,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:09:03,Aggressive,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Default,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Aggressive,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Conservative,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Breakout_Focus,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Default,EURUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Aggressive,EURUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:33,Breakout_Focus,EURUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:34,Default,AUDUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:34,Aggressive,AUDUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:34,Conservative,AUDUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:34,Breakout_Focus,AUDUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:35,Default,USDCAD_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:35,Aggressive,USDCAD_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:35,Conservative,USDCAD_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:35,Breakout_Focus,USDCAD_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:37,Default,USDCOP_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:14:37,Aggressive,USDCOP_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:14:37,Breakout_Focus,USDCOP_otc,M5,SELL,LOSS,-1.0
2025-11-26 00:14:37,Default,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:37,Aggressive,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:37,Conservative,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:37,Breakout_Focus,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:14:38,Default,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:38,Aggressive,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:38,Conservative,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:38,Breakout_Focus,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:14:40,Default,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Aggressive,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Conservative,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Breakout_Focus,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Default,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Aggressive,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Conservative,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:40,Breakout_Focus,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Default,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Aggressive,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Conservative,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Breakout_Focus,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Default,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Aggressive,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Conservative,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:41,Breakout_Focus,AUDUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:14:43,Aggressive,USDCOP_otc,M10,SELL,LOSS,-1.0
